,0,1,-2,-3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,3,0,0,1,3,5,3,3,2,1,2,1,1,1,2,1,1,2,2
1,3,0,0,0,2,2,4,4,2,3,3,1,2,2,2,1,2,2,3,3
2,1,2,0,0,0,2,4,2,2,1,1,1,0,0,0,1,0,0,1,1
3,3,2,0,0,2,0,4,2,0,3,3,1,2,2,2,1,2,2,1,1
4,5,4,0,0,4,4,0,6,4,5,5,3,4,4,4,3,4,4,5,4
5,3,4,0,0,2,2,6,0,2,3,1,3,2,2,2,3,2,2,1,1
6,3,2,0,0,2,0,4,2,0,3,3,1,2,2,2,1,2,2,1,1
7,2,3,0,0,1,3,5,3,3,0,2,1,1,1,1,1,1,1,2,2
8,1,3,0,0,1,3,5,1,3,2,0,2,1,1,1,2,1,1,2,2
9,2,1,0,0,1,1,3,3,1,1,2,0,1,1,1,0,1,1,2,2
10,1,2,0,0,0,2,4,2,2,1,1,1,0,0,0,1,0,0,1,1
11,1,2,0,0,0,2,4,2,2,1,1,1,0,0,0,1,0,0,1,1
12,1,2,0,0,0,2,4,2,2,1,1,1,0,0,0,1,0,0,1,1
13,2,1,0,0,1,1,3,3,1,1,2,0,1,1,1,0,1,1,2,2
14,1,2,0,0,0,2,4,2,2,1,1,1,0,0,0,1,0,0,1,1
15,1,2,0,0,0,2,4,2,2,1,1,1,0,0,0,1,0,0,1,1
16,2,3,0,0,1,1,5,1,1,2,2,2,1,1,1,2,1,1,0,0
17,2,3,0,0,1,1,4,1,1,2,2,2,1,1,1,2,1,1,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
avg ,2,2.411764706,#DIV/0!,#DIV/0!,1.583333333,2.0625,4.235294118,2.411764706,2.0625,1.941176471,1.882352941,1.5,1.583333333,1.583333333,1.583333333,1.5,1.583333333,1.583333333,1.6875,1.625
stdev,1.118033989,0.870260272,#DIV/0!,#DIV/0!,0.900336637,0.853912564,0.752446989,1.227743027,0.853912564,1.144038255,1.11143786,0.730296743,0.900336637,0.900336637,0.900336637,0.730296743,0.900336637,0.900336637,1.078192933,0.885061203
,,,,,,,,,,,,,,,,,,,,
group avg,2.043478261,,,,,2.554216867,,,,,1.637681159,,,,,1.597222222,,,,
group stdev,1.010093983,,,,,1.299652975,,,,,0.907015379,,,,,0.882693098,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,2,,,,,3.555555556,,,,,1.142857143,,,,,1.25,,,,
within stdev,0.894427191,,,,,1.293523334,,,,,0.36313652,,,,,0.447213595,,,,
